Département;A : AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX;B : ARTS ET FACONNAGE D'OUVRAGES D'ART;C : BANQUE, ASSURANCE, IMMOBILIER;D : COMMERCE, VENTE ET GRANDE DISTRIBUTION;E : COMMUNICATION, MEDIA ET MULTIMEDIA;F : CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS;G : HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION;H : INDUSTRIE;I : INSTALLATION ET MAINTENANCE;J : SANTE;K : SERVICES A LA PERSONNE ET A LA COLLECTIVITE;L : SPECTACLE;M : SUPPORT A L'ENTREPRISE;N : TRANSPORT ET LOGISTIQUE
Ain ;130;10;50;940;50;610;320;830;330;480;980;20;470;700
Aisne ;150;0;30;360;10;560;170;370;240;200;700;0;290;310
Allier ;60;50;20;350;10;590;210;320;130;180;430;0;190;200
Alpes-de-Haute-Provence ;70;0;10;200;10;140;230;100;110;130;190;0;90;60
Hautes-Alpes ;50;0;20;160;10;200;150;60;90;160;260;0;110;140
Alpes-Maritimes ;220;20;140;1 380;80;1 300;950;690;800;800;1 640;0;1 330;720
Ardèche ;110;10;20;310;20;300;460;290;180;310;500;10;200;210
Ardennes ;130;0;10;510;10;250;150;310;130;120;240;0;110;150
Ariège ;70;0;20;250;0;280;130;150;160;140;220;0;240;140
Aube ;100;10;40;360;10;310;140;320;200;180;550;0;320;210
Aude ;180;10;70;640;20;550;470;260;340;250;630;0;260;380
Aveyron ;110;20;50;400;20;420;370;340;180;450;520;0;270;340
Bouches-du-Rhône ;720;50;360;4 510;100;2 830;1 550;1 660;2 010;1 580;4 180;30;2 730;2 460
Calvados ;280;10;80;790;20;960;600;610;520;300;1 200;10;550;600
Cantal ;60;0;10;160;10;110;180;70;80;120;180;0;80;60
Charente ;290;10;30;610;40;550;220;400;270;260;510;10;300;290
Charente-Maritime ;400;10;80;1 220;30;1 330;1 570;640;500;450;1 100;10;470;510
Cher ;80;20;50;320;10;310;150;310;160;150;400;0;230;230
Corrèze ;120;20;40;280;0;250;230;180;120;150;300;0;200;180
