Département;A : AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX;B : ARTS ET FACONNAGE D'OUVRAGES D'ART;C : BANQUE, ASSURANCE, IMMOBILIER;D : COMMERCE, VENTE ET GRANDE DISTRIBUTION;E : COMMUNICATION, MEDIA ET MULTIMEDIA;F : CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS;G : HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION;H : INDUSTRIE;I : INSTALLATION ET MAINTENANCE;J : SANTE;K : SERVICES A LA PERSONNE ET A LA COLLECTIVITE;L : SPECTACLE;M : SUPPORT A L'ENTREPRISE;N : TRANSPORT ET LOGISTIQUE
Ain ;110;20;20;810;20;360;280;440;250;390;630;0;270;400
Aisne ;200;0;10;230;10;290;80;220;140;180;510;0;130;210
Allier ;30;10;10;190;0;140;130;150;100;140;280;0;80;150
Alpes-de-Haute-Provence ;90;0;20;160;0;60;170;50;90;80;160;0;90;50
Hautes-Alpes ;50;0;20;140;0;190;280;40;90;130;190;0;90;80
Alpes-Maritimes ;200;20;220;1 110;30;780;730;400;510;800;1 320;0;800;460
Ardèche ;190;0;0;140;10;120;350;310;110;200;340;0;120;120
Ardennes ;80;20;10;250;0;120;80;130;100;100;250;0;70;110
Ariège ;160;10;10;140;0;250;90;100;110;70;190;0;130;70
Aube ;380;0;10;190;10;220;160;250;110;120;290;0;150;130
Aude ;130;10;60;350;20;280;390;110;170;180;410;0;150;260
Aveyron ;90;0;10;210;0;160;140;160;120;300;310;0;130;190
Bouches-du-Rhône ;560;60;370;4 980;120;1 870;1 550;1 070;1 270;1 120;3 140;10;2 070;1 880
Calvados ;150;10;30;550;20;470;530;360;260;290;760;0;260;410
Cantal ;20;10;0;90;0;70;150;40;60;130;150;0;50;40
Charente ;540;0;20;300;30;290;190;270;200;160;300;0;140;250
Charente-Maritime ;450;10;50;660;20;640;940;340;300;410;790;0;250;250
Cher ;80;0;10;310;10;130;140;110;70;110;230;0;110;140
Corrèze ;90;0;10;130;10;150;140;160;60;150;230;0;110;130
Côte-d'Or ;510;20;100;480;10;440;260;300;310;240;670;0;340;240
Côtes-d'Armor ;200;0;10;440;10;360;370;350;180;410;700;0;230;270
Creuse ;40;0;0;50;0;60;60;30;40;60;150;0;60;100
Dordogne ;110;40;10;310;0;300;310;150;110;200;360;0;110;160
Doubs ;50;40;50;460;10;310;270;200;240;270;710;0;220;170
Drôme ;490;30;60;620;20;430;310;540;350;260;820;10;350;530
Eure ;80;40;30;340;10;310;140;300;220;150;490;0;210;240
Eure-et-Loir ;100;0;40;270;10;260;150;230;210;130;370;0;180;210
Finistère ;270;10;30;700;20;710;810;640;260;640;1 200;10;320;280
Corse-du-Sud A;70;0;10;200;10;140;330;30;90;40;100;0;50;100
Haute-Corse B;850;20;10;160;0;160;320;50;60;80;170;0;70;80
Gard ;190;10;40;620;10;480;410;290;250;300;820;0;300;410
Haute-Garonne ;200;10;180;1 720;50;1 090;730;700;990;880;2 290;20;1 140;990
